DMA_COL,nielsen_abbrev,nielsen_food,iri,tvhh
HARRISBURG LNCSTR LEB YORK,RUS,REMAINING US FOOD,HAI,729440
HARRISONBURG,RIC,RICHMOND NORFOLK FOOD,RUS,91620
HARTFORD & NEW HAVEN,HAR,HARTFORD NEW HAVEN FOOD,HAF,1006280
HATTIESBURG LAUREL,RUS,REMAINING US FOOD,MIS,111560
HELENA,RUS,REMAINING US FOOD,RUS,28050
HONOLULU,RUS,REMAINING US FOOD,RUS,434730
HOUSTON,HOU,HOUSTON FOOD,HOU,2185260
HUNTSVILLE DECATUR (FLOR),RUS,REMAINING US FOOD,RUS,394010
IDAHO FALS POCATLLO(JCKSN),SAL,SALT LAKE CITY BOISE FOOD,RUS,128940
INDIANAPOLIS,IND,INDIANAPOLIS FOOD,IND,1109970
JACKSON MS,RUS,REMAINING US FOOD,MIS,334530
JACKSON TN,MEM,MEMPHIS FOOD,RUS,94650
JACKSONVILLE,JAC,JACKSONVILLE FOOD,JAC,669840
JOHNSTOWN ALTOONA ST COLGE,RUS,REMAINING US FOOD,RUS,294770
JONESBORO,MEM,MEMPHIS FOOD,RUS,81300
JOPLIN PITTSBURG,RUS,REMAINING US FOOD,RUS,153910
JUNEAU,RUS,REMAINING US FOOD,RUS,25500
KANSAS CITY,KAN,KANSAS CITY FOOD,KAN,939740
KNOXVILLE,RUS,REMAINING US FOOD,KNO,527790
LA CROSSE EAU CLAIRE,RUS,REMAINING US FOOD,RUS,213660
